track,track_title,sample_time_formatted,sample_time,audio,end_time,end_time_formatted
Lost Ones 1,Lost Ones,0:52,52,lauryn_lost_ones_1.mp3,264,4:24
Lost Ones 2,Lost Ones,0:10,10,lauryn_lost_ones_2.mp3,264,4:24
Lost Ones 3,Lost Ones,1:16,76,lauryn_lost_ones_3.mp3,264,4:24
Lost Ones 4,Lost Ones,2:00,120,lauryn_lost_ones_4.mp3,264,4:24
Lost Ones 5,Lost Ones,0:00,0,lauryn_lost_ones_5.mp3,264,4:24
Lost Ones 6,Lost Ones,1:11,71,lauryn_lost_ones_6.mp3,264,4:24
Lost Ones 7,Lost Ones,0:23,23,lauryn_lost_ones_7.mp3,264,4:24
Lost Ones 8,Lost Ones,2:27,147,lauryn_lost_ones_8.mp3,264,4:24
Lost Ones 9,Lost Ones,1:33,93,lauryn_lost_ones_9.mp3,264,4:24
Lost Ones 11,Lost Ones,2:32,152,lauryn_lost_ones_11.mp3,264,4:24
Doo Wop (That Thing) 1,Doo Wop (That Thing),2:43,163,lauryn_doo_wop_1.mp3,236,3:56
Doo Wop (That Thing) 2,Doo Wop (That Thing),0:00,0,lauryn_doo_wop_2.mp3,236,3:56
Doo Wop (That Thing) 3,Doo Wop (That Thing),0:09,9,lauryn_doo_wop_3.mp3,236,3:56
Doo Wop (That Thing) 4,Doo Wop (That Thing),0:28,28,lauryn_doo_wop_4.mp3,236,3:56
Doo Wop (That Thing) 5,Doo Wop (That Thing),1:55,115,lauryn_doo_wop_5.mp3,236,3:56
Doo Wop (That Thing) 6,Doo Wop (That Thing),1:02,62,lauryn_doo_wop_6.mp3,236,3:56
Doo Wop (That Thing) 7,Doo Wop (That Thing),0:48,48,lauryn_doo_wop_7.mp3,236,3:56
Doo Wop (That Thing) 8,Doo Wop (That Thing),0:20,20,lauryn_doo_wop_8.mp3,236,3:56
Doo Wop (That Thing) 9,Doo Wop (That Thing),0:27,27,lauryn_doo_wop_9.mp3,236,3:56
Ex-Factor 1,Ex-Factor,3:25,205,lauryn_ex_1.mp3,277,4:37
Ex-Factor 2,Ex-Factor,0:00,0,lauryn_ex_2.mp3,277,4:37
Ex-Factor 3,Ex-Factor,1:47,107,lauryn_ex_3.mp3,277,4:37
Ex-Factor 4,Ex-Factor,2:06,126,lauryn_ex_4.mp3,277,4:37
Nothing Even Matters 1,Nothing Even Matters,0:05,5,lauryn_nothing_even_matters_1.mp3,351,5:51
Nothing Even Matters 2,Nothing Even Matters,0:54,54,lauryn_nothing_even_matters_2.mp3,351,5:51
Everything Is Everything 1,Everything Is Everything,0:08,8,lauryn_everything.mp3,247,4:07
Everything Is Everything 2,Everything Is Everything,0:38,38,lauryn_everything_2.mp3,247,4:07
Everything Is Everything 3,Everything Is Everything,2:00,120,lauryn_everything_3.mp3,247,4:07
Mystery of Iniquity,Mystery of Iniquity,0:17,17,lauryn_all_falls_down.mp3,305,5:05
To Zion,To Zion,0:00,0,lauryn_to_zion.mp3,369,6:09
Superstar,Superstar,0:15,15,lauryn_superstar.mp3,300,5:00
The Miseducation of Lauryn Hill,The Miseducation of Lauryn Hill,0:19,19,lauryn_miseducation.mp3,257,4:17
Oh Jerusalem,Oh Jerusalem,8:15,495,lauryn_oh_jerusalem.mp3,534,8:54
I Get Out,I Get Out,0:43,43,lauryn_i_get_out.mp3,320,5:20
I Gotta Find Peace of Mind,I Gotta Find Peace of Mind,0:09,9,lauryn_i_gotta.mp3,560,9:20
So Much Things to Say,So Much Things to Say,0:14,14,lauryn_so_much.mp3,346,5:46
